Unnamed: 0,ID,Sentence,Readability_Level_19,Unnamed: 3,عدد الكلمات,تهجئة/إملاء,تصريف واشتقاق,تراكيب نحوية,مفردات,فكرة / محتوى,ملاحظات,99,annotator,reasoning_round,98,95,100,Unnamed: 11,Orthography,word count,Morphology,syntactic,vocab,content
0,10100680010,ولكن الرجل حاول أن يثنيه عن ذلك قائلًا: لا تبلل ثيابك وتفسد عطرك،,12,غير موجود,,,,,مفردات فصيحة - سامر ٣,,,1.0,Samar,1.0,,,,,,,,,V,
1,10100710017,كما تأكد لهم أن الإمبراطورية العثمانية يجب أن تزول، وأن تنزع فلسطين من سيطرة الأتراك عليها.,12,غير موجود,,,,,مفردات فصيحة - سامر ٣,,,1.0,Samar,1.0,,,,,,,,,V,
2,10100900030,حتى في المناسبات كانت أمي تهديني لعبة تنمي ذكائي أو كتاب حكايات مرسومة أعيش وأستمتع بأبطاله..,11,غير موجود,٢٠ هو أعلى عدد كلمات مطبعية غير متكررة بدون علامات الترقيم,,,,,,,1.0,Samar,1.0,,,,,,W,,,,
3,10100980026,أما سبب عدم الخشية فهو مختلف تمامًا لكل منهما.,9,غير موجود,,,,,مفردات تصف حالات مزاجية وشعورية إيجابية وسلبية مثل الفرح، السعادة، الغضب، الأسف، الحسرة,,,1.0,Samar,1.0,,,,,,,,,V,
4,10101180047,*الصديقة: أ. أ. م. ع.,5,غير موجود,,كلمات من ٤ مقاطع (بدون حساب حركات الإعراب),,,,,,1.0,Samar,1.0,,,,,O,,,,,
5,10101570024,تم رحيل المشركين مهزومين ذات مساء،,12,غير موجود,,,,,ذو,,ذات مؤنث ذو و ليست من الاسماء الخمسة,1.0,Samar,1.0,,,,,,,,,V,
6,10101620030,بهذه الطريقة سينتهي عمرنا قبل أن نقابل هذا الرجل,8,غير موجود,,,سوابق أخرى: سين الاستقبال ، واو الاستئناف، فاء العطف,,,,,1.0,Samar,1.0,,,,,,,M,,,
7,10101770036,سكر..,1,غير موجود,١ هو أعلى عدد كلمات مطبعية غير متكررة بدون علامات الترقيم,كلمات من مقطع واحد، ومقطعين (بدون حساب حركات الإعراب),,,,,,1.0,Samar,1.0,,,,,O,W,,,,
8,10102590003,سيناريو: طارق إمام                رسوم: محمد علي,12,غير موجود,,,,,مفردات فصيحة - سامر ٣,,,1.0,Samar,1.0,,,,,,,,,V,
9,10102620016,روائح الموز، والنعناع الأخضر، والفانيليا، تساعد على إنقاص الوزن، هذا ما توصل إليه باحثون أمريكيون.,12,غير موجود,,,,,مفردات فصيحة - سامر ٣,,,1.0,Samar,1.0,,,,,,,,,V,
