ID,Label,Final_Prediction,Reasons,Codes,Arabic_Descriptions,Orthography,word count,Morphology,syntactic,vocab,content
10100290015,10,10,"['kana_wa_akhawataha', 'S10-6']","{'syntactic': ['S10-2', 'S10-6']}","['كان وأخواتها', 'جملة الصلة وجملة الصفة- جملة الحال-جملة المفعول به']",,,,S,,
10100290023,8,8,['samerMSA_2.1'],{'vocab': ['V8-1']},['مفردات فصيحة - سامر ١ و سامر ٢'],,,,,V,
10100290026,12,12,[],{},[],,,,,,
10100300007,7,7,"['S7-1', 'samerMSA_2.0', 'content_level_2']","{'syntactic': ['S7-1'], 'vocab': ['V7-1'], 'content': ['C7-1']}","['مفعول فيه (ظروف زمان ومكان)', 'مفردات فصيحة شائعة - سامر ٢', 'بعض الرمزية أو عدم التصريح المباشر بكل المقصود في الجملة']",,,,S,V,C
10100310004,3,3,['prc_Al_det'],{'Morphology': ['M3-1']},['سوابق: ال التعريف'],,,M,,,
10100310019,7,7,['O7-1'],{'Orthography': ['O7-1']},['أفعال/أسماء معتلة الآخر'],O,,,,,
10100320002,12,12,['samerMSA_3.0'],{'vocab': ['V12-1']},['مفردات فصيحة - سامر ٣'],,,,,V,
10100320015,3,3,['prc_Al_det'],{'Morphology': ['M3-1']},['سوابق: ال التعريف'],,,M,,,
10100320022,7,7,"['O7-1', 'samerMSA_2.0']","{'Orthography': ['O7-1'], 'vocab': ['V7-1']}","['أفعال/أسماء معتلة الآخر', 'مفردات فصيحة شائعة - سامر ٢']",O,,,,V,
10100330027,8,8,['M8-3'],{'Morphology': ['M8-3']},['سوابق أخرى: سين الاستقبال ، واو الاستئناف، فاء العطف'],,,M,,,
10100330037,9,9,"['vocative', 'V9-1']","{'syntactic': ['S9-1'], 'vocab': ['V9-1']}","['المنادى', 'مفردات تصف حالات مزاجية وشعورية إيجابية وسلبية مثل الفرح، السعادة، الغضب، الأسف، الحسرة']",,,,S,V,
10100330131,8,8,['amma_lakin'],{'Morphology': ['M8-4']},['(ثم  ، حتى  ، أو  ، أم  ، لكن  ، أمّا)'],,,M,,,
10100330133,14,14,['samerMSA_4.0'],{'vocab': ['V14-1']},['مفردات فصيحة - سامر ٤'],,,,,V,
10100350011,8,8,"['M8-3', 'negation_particle']","{'Morphology': ['M8-3'], 'vocab': ['V8-2']}","['سوابق أخرى: سين الاستقبال ، واو الاستئناف، فاء العطف', 'أحرف النفي']",,,M,,V,
10100350032,8,8,"['M8-3', 'samerMSA_2.1']","{'Morphology': ['M8-3'], 'vocab': ['V8-1']}","['سوابق أخرى: سين الاستقبال ، واو الاستئناف، فاء العطف', 'مفردات فصيحة - سامر ١ و سامر ٢']",,,M,,V,
10100360082,7,7,"['O7-1', 'samerMSA_2.0']","{'Orthography': ['O7-1'], 'vocab': ['V7-1']}","['أفعال/أسماء معتلة الآخر', 'مفردات فصيحة شائعة - سامر ٢']",O,,,,V,
10100360083,10,10,"['kana_wa_akhawataha', 'S10-6', 'relative_pronoun_singular']","{'syntactic': ['S10-2', 'S10-6'], 'vocab': ['V10-1']}","['كان وأخواتها', 'جملة الصلة وجملة الصفة- جملة الحال-جملة المفعول به', 'أسماء الوصل المفردة']",,,,S,V,
10100370050,8,8,['negation_particle'],{'vocab': ['V8-2']},['أحرف النفي'],,,,,V,
10100370054,7,7,"['O7-1', 'samerMSA_2.0']","{'Orthography': ['O7-1'], 'vocab': ['V7-1']}","['أفعال/أسماء معتلة الآخر', 'مفردات فصيحة شائعة - سامر ٢']",O,,,,V,
10100390042,8,8,"['M8-3', 'samerMSA_2.1']","{'Morphology': ['M8-3'], 'vocab': ['V8-1']}","['سوابق أخرى: سين الاستقبال ، واو الاستئناف، فاء العطف', 'مفردات فصيحة - سامر ١ و سامر ٢']",,,M,,V,
10100400051,7,7,"['O7-1', 'broken_plural', 'S7-1', 'samerMSA_2.0']","{'Orthography': ['O7-1'], 'Morphology': ['M7-5'], 'syntactic': ['S7-1'], 'vocab': ['V7-1']}","['أفعال/أسماء معتلة الآخر', 'جمع التكسير', 'مفعول فيه (ظروف زمان ومكان)', 'مفردات فصيحة شائعة - سامر ٢']",O,,M,S,V,
10100410031,9,9,['vocative'],{'syntactic': ['S9-1']},['المنادى'],,,,S,,
10100410034,7,7,"['verb_command', 'samerMSA_2.0']","{'Morphology': ['M7-3'], 'vocab': ['V7-1']}","['فعل الأمر المفرد', 'مفردات فصيحة شائعة - سامر ٢']",,,M,,V,
10100430018,11,11,"['M11-1', 'idafa_lafzia', 'content_level_5']","{'Morphology': ['M11-1'], 'syntactic': ['S11-2'], 'content': ['C11-1']}","['المشتقات على أنواعها', 'إضافة خيالية (لفظية) طويل القامة', 'هناك درجة من الرمزية وحاجة للمعرفة السابقة كي يُفهم المقصود من الجملة']",,,M,S,,C
10100440015,10,10,['kana_wa_akhawataha'],{'syntactic': ['S10-2']},['كان وأخواتها'],,,,S,,
10100460003,10,10,['passive_voice'],{'Morphology': ['M10-1']},['المبني للمجهول'],,,M,,,
10100490018,5,5,"['syllables', 'suf_pron', 'content_level_1']","{'Orthography': ['O'], 'Morphology': ['M5-1'], 'content': ['C5-1']}","['عدد المقاطع', 'لواحق: ضمير متصل مفرد أو جمع', 'لا رمزية في النص.']",O,,M,,,C
10100510007,3,3,"['prc_Al_det', 'V3-2']","{'Morphology': ['M3-1'], 'vocab': ['V3-2']}","['سوابق: ال التعريف', 'مفردات فصيحة شائعة - سامر ١']",,,M,,V,
10100510047,8,8,"['samerMSA_2.1', 'negation_particle']","{'vocab': ['V8-1', 'V8-2']}","['مفردات فصيحة - سامر ١ و سامر ٢', 'أحرف النفي']",,,,,V,
10100560067,12,12,[],{},[],,,,,,
10100560068,3,3,['prc_Al_det'],{'Morphology': ['M3-1']},['سوابق: ال التعريف'],,,M,,,
10100560091,7,7,['O7-1'],{'Orthography': ['O7-1']},['أفعال/أسماء معتلة الآخر'],O,,,,,
10100570061,10,10,['V10-2'],{'vocab': ['V10-2']},['(قد – لقد)'],,,,,V,
10100570066,10,10,['inna_wa_akhawataha'],{'syntactic': ['S10-1']},['إن وأخواتها'],,,,S,,
10100590040,3,3,['prc_Al_det'],{'Morphology': ['M3-1']},['سوابق: ال التعريف'],,,M,,,
10100590060,12,12,['samerMSA_3.0'],{'vocab': ['V12-1']},['مفردات فصيحة - سامر ٣'],,,,,V,
10100590062,12,12,[],{},[],,,,,,
10100590069,7,7,"['O7-1', 'samerMSA_2.0']","{'Orthography': ['O7-1'], 'vocab': ['V7-1']}","['أفعال/أسماء معتلة الآخر', 'مفردات فصيحة شائعة - سامر ٢']",O,,,,V,
10100590080,6,6,['samerMSA_1.0-msa'],{'vocab': ['V6-1']},['مفردات فصيحة - سامر ١'],,,,,V,
10100590089,14,14,['vocab_14.0'],{'vocab': ['V14-2']},['مفردات قانونية، علمية، دينية، سياسية،... غير متخصصة/عامة'],,,,,V,
10100600011,3,3,['prc_Al_det'],{'Morphology': ['M3-1']},['سوابق: ال التعريف'],,,M,,,
10100600016,7,7,['O7-1'],{'Orthography': ['O7-1']},['أفعال/أسماء معتلة الآخر'],O,,,,,
10100600028,3,3,['prc_Al_det'],{'Morphology': ['M3-1']},['سوابق: ال التعريف'],,,M,,,
10100610020,12,12,['samerMSA_3.0'],{'vocab': ['V12-1']},['مفردات فصيحة - سامر ٣'],,,,,V,
10100620055,8,8,['M8-3'],{'Morphology': ['M8-3']},['سوابق أخرى: سين الاستقبال ، واو الاستئناف، فاء العطف'],,,M,,,
10100630012,12,12,['M12-1'],{'Morphology': ['M12-1']},['التصغير'],,,M,,,
10100660025,13,13,['symbol'],{'vocab': ['V13-3']},['الرموز (ش.م.)'],,,,,V,
10100670006,12,12,['samerMSA_3.0'],{'vocab': ['V12-1']},['مفردات فصيحة - سامر ٣'],,,,,V,
10100670012,10,10,['S10-6'],{'syntactic': ['S10-6']},['جملة الصلة وجملة الصفة- جملة الحال-جملة المفعول به'],,,,S,,
10100670028,10,10,"['inna_wa_akhawataha', 'S10-6']","{'syntactic': ['S10-1', 'S10-6']}","['إن وأخواتها', 'جملة الصلة وجملة الصفة- جملة الحال-جملة المفعول به']",,,,S,,
10100670032,10,10,"['kana_wa_akhawataha', 'S10-6']","{'syntactic': ['S10-2', 'S10-6']}","['كان وأخواتها', 'جملة الصلة وجملة الصفة- جملة الحال-جملة المفعول به']",,,,S,,
10100670035,12,12,"['S12-1', 'exception', 'S12-3']","{'syntactic': ['S12-1', 'S12-2', 'S12-3']}","['جمل اعتراضية  ( تفسير- دعاء...)', 'استثناء', 'حصر']",,,,S,,
10100680010,12,12,['samerMSA_3.0'],{'vocab': ['V12-1']},['مفردات فصيحة - سامر ٣'],,,,,V,
10100690079,11,11,['M11-1'],{'Morphology': ['M11-1']},['المشتقات على أنواعها'],,,M,,,
10100690090,13,13,[],{},[],,,,,,
10100700012,8,8,['amma_lakin'],{'Morphology': ['M8-4']},['(ثم  ، حتى  ، أو  ، أم  ، لكن  ، أمّا)'],,,M,,,
10100700016,10,10,[],{},[],,,,,,
10100710017,12,12,['samerMSA_3.0'],{'vocab': ['V12-1']},['مفردات فصيحة - سامر ٣'],,,,,V,
10100710033,11,11,['M11-1'],{'Morphology': ['M11-1']},['المشتقات على أنواعها'],,,M,,,
10100710034,7,7,"['O7-1', 'broken_plural', 'samerMSA_2.0']","{'Orthography': ['O7-1'], 'Morphology': ['M7-5'], 'vocab': ['V7-1']}","['أفعال/أسماء معتلة الآخر', 'جمع التكسير', 'مفردات فصيحة شائعة - سامر ٢']",O,,M,,V,
10100720020,13,13,[],{},[],,,,,,
10100730001,7,7,"['O7-1', 'samerMSA_2.0']","{'Orthography': ['O7-1'], 'vocab': ['V7-1']}","['أفعال/أسماء معتلة الآخر', 'مفردات فصيحة شائعة - سامر ٢']",O,,,,V,
10100730005,12,12,['S12-1'],{'syntactic': ['S12-1']},['جمل اعتراضية  ( تفسير- دعاء...)'],,,,S,,
10100750005,7,7,"['O7-1', 'S7-1', 'samerMSA_2.0']","{'Orthography': ['O7-1'], 'syntactic': ['S7-1'], 'vocab': ['V7-1']}","['أفعال/أسماء معتلة الآخر', 'مفعول فيه (ظروف زمان ومكان)', 'مفردات فصيحة شائعة - سامر ٢']",O,,,S,V,
10100760014,12,12,[],{},[],,,,,,
10100760022,3,3,"['prc_Al_det', 'V3-2']","{'Morphology': ['M3-1'], 'vocab': ['V3-2']}","['سوابق: ال التعريف', 'مفردات فصيحة شائعة - سامر ١']",,,M,,V,
10100760029,3,3,['prc_Al_det'],{'Morphology': ['M3-1']},['سوابق: ال التعريف'],,,M,,,
10100760033,13,13,"['S13-1', 'content_level_6']","{'syntactic': ['S13-1'], 'content': ['C13-1']}","['الجمل شرطية ( مركبة - عادية)', 'تعابير ثقافية محلية قد لا يفهمها من لا يشترك في نفس الثقافة.']",,,,S,,C
10100760047,5,5,"['syllables', 'content_level_1']","{'Orthography': ['O'], 'content': ['C5-1']}","['عدد المقاطع', 'لا رمزية في النص.']",O,,,,,C
10100760051,12,12,['S12-5'],{'syntactic': ['S12-5']},['تمييز'],,,,S,,
10100760053,6,6,"['verb_past_s_p', 'multiple_verbs', 'samerMSA_1.0-msa']","{'Morphology': ['M6-1'], 'syntactic': ['S6-1'], 'vocab': ['V6-1']}","['الفعل الماضي المفرد والجمع', 'جملة فيها فعلين (مثلا جملة فعلية مفعولها أن المصدرية)', 'مفردات فصيحة - سامر ١']",,,M,S,V,
10100760070,3,3,"['prc_Al_det', 'V3-2']","{'Morphology': ['M3-1'], 'vocab': ['V3-2']}","['سوابق: ال التعريف', 'مفردات فصيحة شائعة - سامر ١']",,,M,,V,
10100760073,3,3,['V3-2'],{'vocab': ['V3-2']},['مفردات فصيحة شائعة - سامر ١'],,,,,V,
10100780046,11,11,"['M11-1', 'nominal_with_tpc', 'relative_pronoun_dual_plural']","{'Morphology': ['M11-1'], 'syntactic': ['S11-1'], 'vocab': ['V11-1']}","['المشتقات على أنواعها', 'جملة أسمية خبرها جملة أسمية (فيها مبتدآن)', 'أسماء الوصل المثنى والجمع']",,,M,S,V,
10100780052,10,10,['kana_wa_akhawataha'],{'syntactic': ['S10-2']},['كان وأخواتها'],,,,S,,
