ID,Sentence,Word_Count,Word,Lex,D3Tok,D3Lex,Readability_Level,Readability_Level_19,Readability_Level_7,Readability_Level_5,Readability_Level_3,Annotator,Document,Source,Book,Author,Domain,Text_Class,split
10100290015,في الأعوام السابقة، كنا نكتب عن هواية واحدة، هي هواية جمع طوابع البريد..,17,"في الأعوام السابقة , كنا نكتب عن هواية واحدة , هي هواية جمع طوابع البريد . .","في عام سابق , كان كتب عن هواية واحد , هي هواية جمع طابع بريد . .","في ال+ أعوام ال+ سابقة , كنا نكتب عن هواية واحدة , هي هواية جمع طوابع ال+ بريد . .","في ال+ عام ال+ سابق , كان كتب عن هواية واحد , هي هواية جمع طابع ال+ بريد . .",10-ya,10,4,2,1,IAA,BAREC_Majed_0413_1987_001.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100290023,سوف أقدم في هذا الباب مواد جديدة.,8,سوف أقدم في هذا الباب مواد جديدة .,سوف قدم في هذا باب مادة جديد .,سوف أقدم في هذا ال+ باب مواد جديدة .,سوف قدم في هذا ال+ باب مادة جديد .,8-Ha,8,3,2,1,IAA,BAREC_Majed_0413_1987_001.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100290026,ورغم أنها هواية غير منتشرة في الوطن العربي، إلا أن هناك الكثيرين ممن يهتمون بها.,17,"ورغم أنها هواية غير منتشرة في الوطن العربي , إلا أن هناك الكثيرين ممن يهتمون بها .","رغم أن هواية غير منتشر في وطن عربي , إلا أن هناك كثير من ٱهتم ب .","و+ رغم أن +ها هواية غير منتشرة في ال+ وطن ال+ عربي , إلا أن هناك ال+ كثيرين من +من يهتمون ب +ها .","و+ رغم أن +ها هواية غير منتشر في ال+ وطن ال+ عربي , إلا أن هناك ال+ كثير من +من ٱهتم ب +ها .",12-lam,12,5,3,2,IAA,BAREC_Majed_0413_1987_001.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100300007,حول العالم..,4,حول العالم . .,حول عالم . .,حول ال+ عالم . .,حول ال+ عالم . .,7-zay,7,2,1,1,IAA,BAREC_Majed_0413_1987_002.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100310004,صنعاء – اليمن,3,صنعاء - اليمن,صنعاء - يمن,صنعاء - ال+ يمن,صنعاء - ال+ يمن,3-jim,3,1,1,1,IAA,BAREC_Majed_0413_1987_003.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100310019,طما – مصر,3,طما - مصر,طما - مصر,طما - مصر,طما - مصر,7-zay,7,2,1,1,IAA,BAREC_Majed_0413_1987_003.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100320002,•لماذا لا تساهم المجلة في تقوية أواصر الصداقة بين أبناء الوطن العربي وذلك بتشجيع اللقاءات خلال العطلة الصيفية؟,20,• لماذا لا تساهم المجلة في تقوية أواصر الصداقة بين أبناء الوطن العربي وذلك بتشجيع اللقاءات خلال العطلة الصيفية ؟,• لماذا لا ساهم مجلة في تقوية آصرة صداقة بين ٱبن وطن عربي ذلك تشجيع لقاء خلال عطلة صيفي ؟,• لماذا لا تساهم ال+ مجلة في تقوية أواصر ال+ صداقة بين أبناء ال+ وطن ال+ عربي و+ ذلك ب+ تشجيع ال+ لقاءات خلال ال+ عطلة ال+ صيفية ؟,• لماذا لا ساهم ال+ مجلة في تقوية آصرة ال+ صداقة بين ٱبن ال+ وطن ال+ عربي و+ ذلك ب+ تشجيع ال+ لقاء خلال ال+ عطلة ال+ صيفي ؟,12-lam,12,5,3,2,IAA,BAREC_Majed_0413_1987_004.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100320015,صنعاء – اليمن,3,صنعاء - اليمن,صنعاء - يمن,صنعاء - ال+ يمن,صنعاء - ال+ يمن,3-jim,3,1,1,1,IAA,BAREC_Majed_0413_1987_004.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100320022,أرجو المراسلة.,3,أرجو المراسلة .,رجا مراسل .,أرجو ال+ مراسلة .,رجا ال+ مراسل .,7-zay,7,2,1,1,IAA,BAREC_Majed_0413_1987_004.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100330027,وفي مركز العصابة ...,6,وفي مركز العصابة . . .,في مركز عصابة . . .,و+ في مركز ال+ عصابة . . .,و+ في مركز ال+ عصابة . . .,8-Ha,8,3,2,1,IAA,BAREC_Majed_0413_1987_005.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100330037,لا يا زعيمي غاضب..,6,لا يا زعيمي غاضب . .,لا يا زعيم غاضب . .,لا يا زعيم +ي غاضب . .,لا يا زعيم +ي غاضب . .,9-ta,9,3,2,1,IAA,BAREC_Majed_0413_1987_005.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100330131,لكن توجد معلومات عنها..,6,لكن توجد معلومات عنها . .,لكن وجد معلوم عن . .,لكن توجد معلومات عن +ها . .,لكن وجد معلوم عن +ها . .,8-Ha,8,3,2,1,IAA,BAREC_Majed_0413_1987_005.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100330133,ويقال إنها لما بلغت 500 سنة أحرقت نفسها وبرزت من دخانها عنقاء أخرى..,15,ويقال إنها لما بلغت 500 سنة أحرقت نفسها وبرزت من دخانها عنقاء أخرى . .,قال إن ما بلغ 500 سنة أحرق نفس برز من دخان عنقاء أخرى . .,و+ يقال إن +ها ل+ ما بلغت 500 سنة أحرقت نفس +ها و+ برزت من دخان +ها عنقاء أخرى . .,و+ قال إن +ها ل+ ما بلغ 500 سنة أحرق نفس +ها و+ برز من دخان +ها عنقاء أخرى . .,14-nun,14,6,4,3,IAA,BAREC_Majed_0413_1987_005.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
