used_as_shots_for_fold,sourced_from_fold,level,sentence,codes
A,B,1,سكر,"[""O"", ""WC"", ""S1-1"", ""V1-4""]"
A,B,1,مبروك..,"[""O"", ""WC"", ""S1-1"", ""V1-4""]"
A,B,2,شكل ١-١,"[""WC""]"
A,B,2,يدفعُ.,"[""M-O"", ""V2-2""]"
A,B,2,طائِرٌ,"[""V2-2""]"
A,B,3,صنعاء – اليمن,"[""M3-1""]"
A,B,3,• نورُ القَمَرِ .,"[""M3-1""]"
A,B,3,الصياد المسكين والمارد اللعين,"[""M3-1""]"
A,B,4,للشّاعرِ مُحَمَّدِ الفاضِلِ,"[""M4-2""]"
A,B,4,تُشْرِقُ الشَّمْسُ مِنَ الشَّرْقِ.,"[""S4-2"", ""V4-1""]"
A,B,4,شريانٌ في العنقِ.,"[""S4-2"", ""V4-1""]"
A,B,5,*الصديقة: أ. أ. م. ع.,"[""O""]"
A,B,5,يَتَمَيَّزُ السِّنْجَابُ جاك السَّعِيدُ بِعَيْنَيْنِ بَرَّاقَتَيْنِ، ,"[""M5-2""]"
A,B,5,يُنيرُ وَيَلْمَعُ بِقوَّةٍ,"[""S5-2""]"
A,B,6,انتبه!,"[""M6-1""]"
A,B,6,سُلوكي مَسْؤولِيَّتي,"[""WC""]"
A,B,6,المعاملاتُ,"[""O""]"
A,B,7,قبلَ النَّومِ، أنظُرُ إلى السَّمَاء,"[""S7-1""]"
A,B,7,يَدْعو .,"[""O7-1""]"
A,B,7,قَالاَ حَدَّثَنَا إِبْرَاهِيمُ بْنُ سَعْدٍ ،,"[""M7-1""]"
A,B,8,والعنكبوت تفضله بعض مناطق أمريكا الجنوبية!,"[""M8-3""]"
A,B,8,أُسَمِّعَ الآياتِ الكريمةَ تسميعًا مُتْقَنًا.,"[""S8-1"", ""V8-1""]"
A,B,8,فالمسامح لن يخسر شيئا,"[""M8-3""]"
A,B,9,اقتراحات سبعة لقضاء إجازة مليئة بالسعادة والإفادة.,"[""V9-1""]"
A,B,9,لُغَتي فيها فَخْري الْأَكْبَرْ,"[""V9-1""]"
A,B,9,"نظرت إليها ""درهمة"" في دهشةٍ ثم سألتها: ماذا تريدين يا سيدتي؟","[""S9-1""]"
A,B,10,ولكنه ما زال غاضباً مني,"[""S10-2"", ""S10-1""]"
A,B,10,لَمْ يَكُنْ يَعْرِفُ إِلَى أَيْنَ هُوَ ذَاهِبٌ، ,"[""S10-2""]"
A,B,10,فيهِ بَيانٌ وَتَفْصيلٌ,"[""S10-3""]"
A,B,11,وهو من أخلص رجالنا، وعلى اتصال دائم بنا بالرسائل التي يبعث بها عن طريق الحمام الزاجل..,"[""WC""]"
A,B,11,وقد كشفت الحفريات الأثرية أسلحة متطورة للغاية، وربما استخدمت للصيد، وهي مصنوعة من الحجر والخشب وحتى الحبال.,"[""WC""]"
A,B,11,"فالكلب الصغير اسمه ""سمسم""، يمكنه أن يحضر لك مائدةً عليها اللذيذ من الطعام والشراب، في أي وقتٍ أردت؛","[""WC""]"
A,B,12,العصر الجاهلي,"[""V12-1""]"
A,B,12,وظهر في واحدة منها وهو يعظ مجموعة من الحيوانات الوديعة المنتبهة، أرانب، وظبي، وسنجاب، وطائر عقعق في أرضٍ مقطوعة الأشجار.,"[""WC"", ""V12-1""]"
A,B,12,ومع أني كنت بارعةً في قراءة الخرائط، لم تكن مهارتي تلك هي سبب ذَهابي معهما، ولا كان السبب هو «رؤية البلد برمته».,"[""WC""]"
A,B,13,"ولما رأى الحمار والدموع تكاد تسقط من عينيه من شدة الإجهاد قال له: ""استرح..","[""V13-1""]"
A,B,13,في المواقف الاجتماعية، يُعد الإحراج علامةَ تحذير على أنَّ الوضع يسير في اتجاه خاطئ، وأنَّ شخصًا ما يتعرض للفشل عادة.,"[""V13-1""]"
A,B,13,"وكم كانت دهشته كبيرةً عندما أخرجت له الشبكة تلك السمكة الغريبة الجميلة التي وصفها القرد، فحملها في قفةٍ وأسرع بها إلى دكان ""أبو السعادات"" شيخ الصيارف.","[""V13-1""]"
A,B,14,4 فَدَخَلَ عَلَى هَاجَرَ فَحَبِلَتْ. وَلَمَّا رَأَتْ أَنَّهَا حَبِلَتْ صَغُرَتْ مَوْلاَتُهَا فِي عَيْنَيْهَا.,"[""V14-1""]"
A,B,14,من أجهزة قياس درجة الحرارة :  (أ) جهاز الثيرموميتر  (ب) جهاز الباروميتر  (ج) جهاز الباروجراف  (د) جهاز الانيموميتر,"[""V14-2""]"
A,B,14,وَكَيْفَ أُتِيحَ لَهُمْ أَنْ يُكْسِبُوهُ ذَلِكَ الشُّفُوفَ الَّذِي لَا يَعُوقُ الْبَصَرَ عَنْ رُؤْيَةِ مَا وَرَاءَهُ، بِحَيْثُ تَتَخَطَّاهُ الْعَيْنُ، فَلَا تَفْطُنُ إِلَى وُجُودِهِ!»,"[""V14-1"", ""C-O""]"
A,B,15,ولتنتمي إلى حُمَيَّا اللحظة الآسرة.,"[""V15-1"", ""C15-1""]"
